composer	composer_first	work_group	work_catalogue	opus	no	mov	title	composition	publication	source	display_year	Fbb	Cbb	Gbb	Dbb	Abb	Ebb	Bbb	Fb	Cb	Gb	Db	Ab	Eb	Bb	F	C	G	D	A	E	B	F#	C#	G#	D#	A#	E#	B#	F##	C##	G##	D##	A##	E##	B##
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	878	2			1740.0		MS	1740.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	78	113	124	118	106	118	89	21	14	9	5	1	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	31	3	1.0	Piano Sonata No. 18	1802.0		MS	1802.0	0	0	0	0	0	0	0	3	23	52	50	305	528	404	510	493	362	290	155	77	53	27	6	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	31	3	2.0	Piano Sonata No. 18	1802.0		MS	1802.0	0	0	0	0	0	0	0	18	31	28	194	283	352	271	208	343	291	92	59	75	38	4	2	0	2	1	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	31	3	3.0	Piano Sonata No. 18	1802.0		MS	1802.0	0	0	0	0	0	0	0	4	25	2	2	86	195	206	90	35	106	72	7	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	31	3	4.0	Piano Sonata No. 18	1802.0		MS	1802.0	0	0	0	0	0	0	0	7	96	145	156	367	483	419	335	254	244	225	80	31	39	37	23	0	0	4	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	27	1	1.0	Piano Sonata No. 13	1801.0		MS	1801.0	0	0	0	0	0	0	0	0	0	0	2	137	212	283	244	144	234	250	43	70	78	3	8	3	0	0	0	0	0	0	0	0	0	0	0
Alkan	Charles Valentin	Esquisses	Op.	63	9			1861.0		MS	1861.0	0	0	0	0	2	3	0	9	31	52	92	126	143	128	82	57	50	54	29	52	59	11	7	17	12	0	2	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	27	1	2.0	Piano Sonata No. 13	1801.0		MS	1801.0	0	0	0	0	0	0	0	0	0	14	46	87	143	90	61	205	164	80	38	25	34	12	0	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	27	1	3.0	Piano Sonata No. 13	1801.0		MS	1801.0	0	0	0	0	0	0	0	0	0	4	59	228	140	92	66	91	100	31	13	7	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	27	1	4.0	Piano Sonata No. 13	1801.0		MS	1801.0	0	0	0	0	0	0	0	3	55	128	109	398	582	963	612	280	355	387	107	91	40	12	0	1	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	106		1.0	Piano Sonata No. 29	1818.0		MS	1818.0	0	0	0	0	0	20	0	27	99	203	146	208	551	920	830	685	696	909	433	235	289	187	86	30	28	40	4	0	0	2	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	106		2.0	Piano Sonata No. 29	1818.0		MS	1818.0	0	0	0	0	0	0	0	0	0	10	204	60	127	286	464	224	150	156	131	28	156	26	0	0	0	8	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	106		3.0	Piano Sonata No. 29	1818.0		MS	1818.0	0	0	0	0	0	0	0	0	5	1	8	13	37	49	26	36	299	493	533	260	593	860	885	442	197	228	298	122	13	2	0	2	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	879	1			1740.0		MS	1740.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	76	142	99	128	190	216	191	121	35	49	28	3	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	879	2			1740.0		MS	1740.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	111	201	139	193	241	221	208	89	32	85	39	1	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	106		4.0	Piano Sonata No. 29	1818.0		MS	1818.0	0	0	0	0	0	0	1	6	70	215	297	364	698	956	868	869	815	842	847	598	460	365	284	103	97	98	10	7	4	1	0	0	0	0	0
Chopin	Frédéric	Nocturnes	Op.	9	1		3 Nocturnes	1833.0		MS	1833.0	0	0	0	0	2	0	7	6	35	121	309	262	135	223	267	84	27	85	97	51	10	8	20	2	0	0	0	0	0	0	0	0	0	0	0
Alkan	Charles Valentin	Esquisses	Op.	63	10			1861.0		MS	1861.0	0	0	0	0	0	0	0	0	0	0	0	2	40	15	33	10	29	109	166	148	124	122	243	215	88	41	20	42	32	5	0	0	2	1	0
Beethoven	Ludwig van	Piano Sonatas	Op.	110		1.0	Piano Sonata No. 31	1821.0		MS	1821.0	0	0	0	0	0	0	0	3	8	35	225	475	561	316	253	371	280	80	69	77	107	36	23	44	18	7	2	6	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	110		2.0	Piano Sonata No. 31	1821.0		MS	1821.0	0	0	0	0	0	0	0	0	10	32	73	137	59	89	149	172	114	38	10	65	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	880	1			1740.0		MS	1740.0	0	0	0	0	0	0	0	0	0	0	1	10	24	115	219	186	191	209	207	174	72	17	33	17	1	0	0	0	0	0	0	0	0	0	0
Händel	Georg Friedrich	Funeral Anthem for Queen Caroline	HWV	264		13	The mercifull goodness		1737.0	KPM	1737.0	0	0	0	0	0	0	0	0	0	0	0	0	60	199	164	121	223	283	193	57	0	63	23	0	0	1	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	110		3.0	Piano Sonata No. 31	1821.0		MS	1821.0	0	0	0	0	0	0	3	76	135	108	295	488	595	483	314	384	466	346	167	43	90	62	13	3	3	0	0	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	880	2			1740.0		MS	1740.0	0	0	0	0	0	0	0	0	0	0	8	25	35	125	165	166	157	135	128	109	32	9	9	1	0	0	0	0	0	0	0	0	0	0	0
Chopin	Frédéric	Nocturnes	Op.	55	1		2 Nocturnes	1844.0		MS	1844.0	0	0	0	0	2	0	4	2	6	41	118	144	114	164	241	340	142	44	78	60	29	8	1	2	0	0	0	0	0	0	0	0	0	0	0
Alkan	Charles Valentin	Esquisses	Op.	63	11			1861.0		MS	1861.0	0	0	0	0	0	0	0	0	4	19	4	22	86	68	116	82	52	87	48	5	31	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	881	1			1740.0		MS	1740.0	0	0	0	0	0	0	0	2	2	26	72	111	72	98	117	110	70	15	22	30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	881	2			1740.0		MS	1740.0	0	0	0	0	0	0	0	0	0	14	103	147	92	162	165	180	160	46	22	67	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alkan	Charles Valentin	Esquisses	Op.	63	12			1861.0		MS	1861.0	0	0	0	0	0	2	0	21	66	68	25	83	103	227	41	8	31	37	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	111		1.0	Piano Sonata No. 32	1822.0		MS	1822.0	0	0	0	0	0	8	0	12	32	64	220	455	477	266	528	618	649	295	128	152	203	93	1	2	1	0	0	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	882	1			1740.0		MS	1740.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	106	220	234	187	220	209	180	67	18	37	20	0	0	0	0
